0
1
                     Nume      Varsta       Value                        Hascode                                Hashcode translatat

                   hbliak          24          24                              1                                                  1
                  lwcmtru          21          21                              1                                                  1
                    hnrcr          26          26                              1                                                  1
                    ytfaf          24          24                              1                                                  1
                 dodzdafq          26          26                              1                                                  1
                    kalhy          20          20                              1                                                  1
                 zqjxnovj          22          22                              1                                                  1
                  jymdfju          18          18                              1                                                  1
                 wxboippq          25          25                              1                                                  1
                 prkfpgai          20          20                              1                                                  1
                   khpqvs          20          20                              1                                                  1
                 mixgngfr          22          22                              1                                                  1
                   oulmlc          25          25                              1                                                  1
                    kauhr          25          25                              1                                                  1
                smndwruru          24          24                              1                                                  1
                   qltkzp          21          21                              1                                                  1
                   vaqecc          25          25                              1                                                  1
                xzezbmpkz          19          19                              1                                                  1
                lwqdpwkcw          17          17                              1                                                  1
                qermuqnnf          24          24                              1                                                  1
                   zznqyf          24          24                              1                                                  1
                   wvaspg          18          18                              1                                                  1
                   htwlir          26          26                              1                                                  1
                    ooffg          20          20                              1                                                  1
                yytztoohb          24          24                              1                                                  1
                   tivuad          24          24                              1                                                  1
                    svgwd          23          23                              1                                                  1
                    bnxoq          18          18                              1                                                  1
                   zdofne          20          20                              1                                                  1
                   yreapt          18          18                              1                                                  1
                sqkgchfpk          26          26                              1                                                  1
                  cppudax          24          24                              1                                                  1
                 pdkewszv          24          24                              1                                                  1
                  mxylygr          24          24                              1                                                  1
                  llsulrf          26          26                              1                                                  1
                juhzmcgak          19          19                              1                                                  1
                   tedeui          22          22                              1                                                  1
                    fwnai          20          20                              1                                                  1
                    vvdcu          21          21                              1                                                  1
                cdxcpqvzj          24          24                              1                                                  1
                   bfmuxh          21          21                              1                                                  1
                   pzhdpy          23          23                              1                                                  1
                    ijqgu          18          18                              1                                                  1
                   tvyxfi          21          21                              1                                                  1
                   boutqw          19          19                              1                                                  1
                odyifqccp          26          26                              1                                                  1
                knawuhznu          22          22                              1                                                  1
                  wufocfi          24          24                              1                                                  1
                   eznhwn          20          20                              1                                                  1
                   bgjiro          25          25                              1                                                  1
                    jkmsj          22          22                              1                                                  1
                   qkrldz          26          26                              1                                                  1
                   owyldq          18          18                              1                                                  1
                   bcobzf          23          23                              1                                                  1
                   ojovbs          23          23                              1                                                  1
                   dqzzmr          18          18                              1                                                  1
                 zybpkcmb          18          18                              1                                                  1
                  aymuqhn          25          25                              1                                                  1
                    loixr          22          22                              1                                                  1
                 gpcpfvxm          24          24                              1                                                  1
                wobepdetw          25          25                              1                                                  1
                emfjnprhx          25          25                              1                                                  1
                    zclzz          21          21                              1                                                  1
                  uuomiak          26          26                              1                                                  1
                 vutsxtva          23          23                              1                                                  1
                  qaqcwvo          24          24                              1                                                  1
                    maksb          19          19                              1                                                  1
                  qjguhfk          18          18                              1                                                  1
                 dkhkkdtd          21          21                              1                                                  1
                 kqoqbriv          21          21                              1                                                  1
                gjexcvnmg          18          18                              1                                                  1
                    aowtj          19          19                              1                                                  1
                njjwezykz          24          24                              1                                                  1
                    ifqtf          20          20                              1                                                  1
                    fegvy          21          21                              1                                                  1
                    mcabo          17          17                              1                                                  1
                 glgyqwpk          24          24                              1                                                  1
                 tnpclqew          26          26                              1                                                  1
                 kigljdwu          23          23                              1                                                  1
                  ozmsszc          17          17                              1                                                  1
                pmnwffdck          24          24                              1                                                  1
                 dnhgurfs          19          19                              1                                                  1
                  nihcwna          19          19                              1                                                  1
                pkfpokgqf          20          20                              1                                                  1
                    sumjj          26          26                              1                                                  1
